REF_DATE,GEO,DGUID,Measures,Sex,Age_group,Categories,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839774,1.1.1.1.1.1,29.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839775,1.1.1.1.1.2,26.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839776,1.1.1.1.1.3,32.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839777,1.1.1.1.2.1,70.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839778,1.1.1.1.2.2,67.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839779,1.1.1.1.2.3,73.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,Estimate,Percent,239,units ,0,v108839780,1.1.1.2.1.1,9.7,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839781,1.1.1.2.1.2,6.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839782,1.1.1.2.1.3,15,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,Estimate,Percent,239,units ,0,v108839783,1.1.1.2.2.1,90.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839784,1.1.1.2.2.2,85,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839785,1.1.1.2.2.3,93.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,Estimate,Percent,239,units ,0,v108839786,1.1.1.3.1.1,11.3,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839787,1.1.1.3.1.2,7.7,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839788,1.1.1.3.1.3,16.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,Estimate,Percent,239,units ,0,v108839789,1.1.1.3.2.1,88.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839790,1.1.1.3.2.2,83.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839791,1.1.1.3.2.3,92.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,Estimate,Percent,239,units ,0,v108839792,1.1.1.4.1.1,15.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839793,1.1.1.4.1.2,10.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839794,1.1.1.4.1.3,22.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,Estimate,Percent,239,units ,0,v108839795,1.1.1.4.2.1,84.3,,,,1
