SHA code,SHA name,PCT code,PCT name,Practice code,Practice name,Deaf and uses sign language - total responses,Yes,No,% Yes,% No
N/A,N/A,N/A,N/A,N/A,Results for England as a whole,"18,59,075","5,636","18,53,439",*,100%
,,,,,,,,,,
Q30,North East SHA,5D7,Newcastle ,A86003,SAVILLE MEDICAL GROUP,319,0,319,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86004,PROSPECT MEDICAL CENTRE,403,1,402,*,100%
Q30,North East SHA,5D7,Newcastle ,A86006,ROSEWORTH SURGERY,123,1,122,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86007,AVENUE MEDICAL PRACTICE,115,0,115,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86008,PARK MEDICAL GROUP,365,0,365,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86009,FALCON MEDICAL GROUP,153,1,152,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86010,BIDDLESTONE HEALTH GROUP,240,0,240,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86011,WALKER MEDICAL GROUP,352,3,349,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86012,WEST ROAD MEDICAL CENTRE,236,1,235,*,100%
Q30,North East SHA,5D7,Newcastle ,A86013,DENTON PARK MEDICAL GROUP,308,0,308,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86015,HOLLY MEDICAL GROUP,127,0,127,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86017,CRUDDAS PARK SURGERY,274,2,272,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86018,THE GROVE MEDICAL GROUP,133,0,133,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86020,THE SURGERY-OSBORNE ROAD,124,0,124,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86021,HOLMSIDE MEDICAL GROUP,276,0,276,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86022,PARKWAY MEDICAL GROUP,174,0,174,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86023,37A MEDICAL CENTRE,311,1,310,*,100%
Q30,North East SHA,5D7,Newcastle ,A86024,42 HEATON ROAD,217,0,217,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86025,WESTERHOPE MEDICAL GROUP,245,0,245,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86026,THROCKLEY PRIMARY CARE CENTRE,195,0,195,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86027,NEWCASTLE MEDICAL CENTRE,101,0,101,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86028,ELMFIELD HEALTH GROUP,373,0,373,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86029,THORNFIELD MEDICAL GROUP,382,3,379,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86030,BETTS AVENUE MEDICAL GROUP,389,0,389,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86031,FENHAM HALL SURGERY,217,0,217,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86033,BRUNTON PARK,260,1,259,*,100%
Q30,North East SHA,5D7,Newcastle ,A86035,BROADWAY MEDICAL CENTRE,299,0,299,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86036,GOSFORTH MEMORIAL MED.CTR,246,0,246,0%,100%
Q30,North East SHA,5D7,Newcastle ,A86037,GRAINGER MEDICAL GROUP,322,1,321,*,100%
Q30,North East SHA,5D7,Newcastle ,A86038,NEWBURN SURGERY,369,1,368,*,100%
Q30,North East SHA,5D7,Newcastle ,A86040,ST.ANTHONY'S HEALTH CENTRE,127,1,126,1%,99%
Q30,North East SHA,5D7,Newcastle ,A86601,DENTON TURRET MEDICAL CENTRE,235,0,235,0%,100%
Q30,North East SHA,5D7,Newcastle ,Y00184,DILSTON MEDICAL CENTRE,201,1,200,*,100%
Q30,North East SHA,5D7,Newcastle ,Y02711,PONTELAND ROAD HEALTH CENTRE,84,0,84,0%,100%
Q30,North East SHA,5D7,Newcastle ,Y02726,SCOTSWOOD GP PRACTICE,181,2,179,1%,99%
Q30,North East SHA,5D8,North Tyneside ,A86005,WEST FARM SURGERY,318,1,317,*,100%
Q30,North East SHA,5D8,North Tyneside ,A86016,LANE END SURGERY,183,1,182,1%,99%
Q30,North East SHA,5D8,North Tyneside ,A86041,SWARLAND AVENUE SURGERY,331,2,329,1%,99%
Q30,North East SHA,5D8,North Tyneside ,A87002,SPRING TERRACE HEALTH CENTRE,396,1,395,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87003,PORTUGAL PLACE HEALTH CTR,263,2,261,1%,99%
Q30,North East SHA,5D8,North Tyneside ,A87004,COLLINGWOOD SURGERY,153,0,153,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87005,WHITLEY BAY HEALTH CENTRE,128,0,128,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87006,49 MARINE AVENUE,217,0,217,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87007,FOREST HALL HEALTH CENTRE,122,0,122,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87008,MARINE AVENUE MEDICAL CTR,390,1,389,*,100%
